isbn,title,book_author,year_of_publication,publisher,stock
3310005844,20 Jahre 40 bleiben. Jung und sch�?¶n in den besten Jahren.,Josephine Fairley,1999,Midena,51
059525893X,Goddess Blood: Book One of the Goddess Trilogy,R. T. Burns,2002,Writer's Showcase Press,7
0425122123,Clear and Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,40
0812530489,Time Wars,Poul Anderson,1986,Tor Books,7
081257060X,The Return,Buzz Aldrin,2001,Tor Books,28
0446326488,Lord of the Dance,Andrew M Greeley,1985,Warner Books> C/o Little Br,14
080410882X,Dinner at the Homesick Restaurant,Anne Tyler,1992,Ivy Books,34
0446609986,The Fourth Wall,Beth Saulnier,2001,Warner Books,70
0375726624,Newjack: Guarding Sing Sing (Vintage),Ted Conover,2001,Vintage Books USA,96
0892882816,Homestead, A Memoir,Jane Kirkpatrick,2000,21
1577487370,The Quilt of Life: A Patchwork of Devotional Thoughts (Inspirational Library (Paperback)),Mary Tatem,2000,Barbour Publishing,36
1578562325,All Together in One Place: A Novel of Kinship, Courage, and Faith (Kirkpatrick, Jane. Kinship and Courage Historical Series,53
0385484518,Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson,MITCH ALBOM,61
0060951710,Martha Stuart's Better Than You at Entertaining (A Parody),Tom Connor,1996,Perennial Currents,11
0060922532,Pigs in Heaven,Barbara Kingsolver,1994,Perennial,74
0786864133,Napalm &amp, Silly Putty,George Carlin,2001,79
156836010X,Having Our Say: The Delany Sisters' First 100 Years,Sarah Louise Delany,1993,Kodansha America,25
006251119X,Stop Being Mean to Yourself: A Story About Finding the True Meaning of Self-Love,Melody Beattie,1997,HarperSanFrancisco,41
0440236703,Tell No One,Harlan Coben,2002,Dell Publishing Company,10
0671795937,ROGUE WARRIOR: ROGUE WARRIOR I  (PAPERBACK),Richard Marcinko,1993,Pocket,77
0345380274,Deadly Justice,William Bernhardt,1993,Ballantine Books,63
0440224039,True Crime: The Novel,Andrew Klavan,1997,Dell,75
076790396X,The Pilates Body: The Ultimate At-Home Guide to Strengthening, Lengthening, and Toning Your Body--Without Machines,Brooke Siler,57
1572241381,The Self-Esteem Companion,Matthew McKay,1999,New Harbinger Publications,73
0345443411,What Women Want: What Every Man Needs to Know About Sex, Romance, Passion, and Pleasure,29
0192802542,Dada and Surrealism: A Very Short Introduction (Very Short Introductions),David Hopkins,2004,Oxford University Press,12
0060928204,Creativity : Flow and the Psychology of Discovery and Invention,Mihaly Csikszentmihalyi,1997,Perennial,19
1592400876,Eats, Shoots &amp, Leaves: The Zero Tolerance Approach to Punctuation,Lynne Truss,17
0140282378,The Big Book of Calm,Paul Wilson,1999,Michael Joseph,37
0435240765,Diary of a Language Teacher,Joachim Appel,0,Heinemann,41
0316779490,Naked,David Sedaris,1997,Little Brown &amp,4
0767902513,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,1998,Bantam Dell Pub Group,85
038531809X,Why Not Me?: The Inside Story of the Making and Unmaking of the Franken Presidency,Al Franken,1999,Bantam Dell Pub Group,62
068815252X,Book,Whoopi Goldberg,1997,William Morrow &amp,74
078686351X,Dirty Jokes and Beer : Stories of the Unrefined,Drew Carey,1997,Hyperion Books,59
0375706410,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA,63
0753811464,Maya,Jostein Gaarder,0,Phoenix mass market p/bk,34
0452266688,The Portable Curmudgeon,Jon Winokur,1992,Plume Books,72
0340697687,Film Studies (Teach Yourself Educational S.),Warren Buckland,1998,Hodder Arnold Teach Yourself,84
0130289221,Becoming a Critical Thinker: A User Friendly Manual (3rd Edition),Sherry Diestler,2000,Pearson Education,67
0806957050,Sit &amp, Solve - Lateral Thinking Puzzles,Paul Sloane,2002,39
0517084732,Good Advice : More Than 2,000 Quotations to help You Live Your Life,WILLIAM SAFIRE,1993,14
020530902X,The Elements of Style, Fourth Edition,William Strunk Jr.,2000,17
073520313X,How to Say It Style Guide,Rosalie Maggio,2002,Prentice Hall Art,68
0130891347,Asking the Right Questions: A Guide to Critical Thinking (6th Edition),M. Neil Browne,2000,Prentice Hall,59
0465021433,The Evolution of Desire: Strategies of Human Mating,David M. Buss,1995,Basic Books,88
1565115228,Pretty Good Joke Book: A Prairie Home Companion (Prairie Home Companion),Garrison Keillor,2001,Highbridge Audio,42
0380810336,Feeling Good : The New Mood Therapy,David D. Burns,1999,Avon,70
0809225034,Talking the Winner's Way: 92 Little Tricks for Big Success in Business and Personal Relationships,Leil  Lowndes,1999,McGraw-Hill,43
061819729X,The Playful Way to Serious Writing: An Anything-Can-Happen Workbook to Inspire and Delight,Roberta Allen,2002,Mariner Books,47
1565122798,Educating Esme: Diary of a Teacher's First Year,Esme Raji Codell,2001,Algonquin Books of Chapel Hill,78
1581820542,The Little Book of Big Ideas: Inspiration, Encouragement &amp, Tips to Stimulate Creativity and Improve Your Life,Harold R. McAlindon,98
0425166791,Undoing Depression: What Therapy Doesn't Teach You and Medication Can't Give You,Richard O'Connor,1999,Berkley Publishing Group,75
0452284058,What Every American Should Know About the Rest of the World: Your Guide to Today's Hot Spots, Hot Shots, and Incendiary Issues,M. L. Rossi,59
1564146731,The Know-It-All's Guide to Life: How to Climb Mount Everest, Cure Hiccups, Live to 100, and Dozens of Other Practical,96
0767910079,A Big New Free Happy Unusual Life: Self-Expression and Spiritual Practice for Those Who Have Time for Neither,Nina Wise,2002,Broadway Books,78
0486401464,Oscar Wilde's Wit and Wisdom: A Book of Quotations (Dover Thrift Editions),Oscar Wilde,1998,Dover Publications,97
0880841109,The Children's Response: Beyond Tpr Toward Writing,Caroline Linse,1983,Alemany Press,62
0811201090,Colossus of Maroussi,Henry Miller,1975,New Directions Publishing Corporation,43
0140621407,Fairy Tales (Penguin Popular Classics),H.C. Andersen,1995,Penguin Books Ltd,9
0140620281,Nostromo (Penguin Popular Classics),Joseph Conrad,1994,Penguin Books Ltd,24
0201895293,101 Bright Ideas: Esl Activities for All Ages,Claire Maria Ford,1996,Pearson Higher Education,11
1585420611,Women Can't Hear What Men Don't Say: Destroying Myths, Creating Love,Warren Farrell Ph.D.,2000,84
0553211978,Northanger Abbey (Bantam Classic),Jane Austen,1985,Bantam Classics,39
0553274503,Flowers for Algernon (Bantam Classic),DANIEL KEYES,1984,Bantam,63
0440224659,Sooner or Later,Elizabeth Adler,1998,Dell Publishing Company,94
1841492086,The Portable Door,Tom Holt,2004,Orbit Book Co.,81
0345308239,March of Folly: From Troy to Vietnam,Barbara W. Tuchman,1992,Ballantine Books,24
0330357190,Loose living,Frank Moorhouse,1995,Picador,67
0413537900,The Secret Diary of Adrian Mole Aged 13 3/4,Sue Townsend,1982,Methuen Publishing Ltd,77
1860467776,Jerk on One End: Reflections of a Mediocre Fisherman,Robert Hughes,2000,Harvill Press,79
0671757059,Prize the Epic Quest for Oil Money and Pow,Daniel Yergin,1991,Pocket Books,73
0671511424,DEVIL IN A BLUE DRESS (Easy Rawlins Mysteries (Paperback)),Walter Mosley,1995,Pocket,89
0425133540,The Sum of All Fears (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,56
0743469801,Why Girls Are Weird : A Novel,Pamela Ribon,2003,Downtown Press,52
0590110225,The Mighty,Rodman Philbrick,1998,Scholastic,30
0835902242,Adventures of Huckleberry Finn,Mark Twain,1992,Globe Fearon,71
0425173755,Murder on the Orient Express (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2000,Berkley Publishing Group,38
0451199871,The Body in the Library (Miss Marple Mysteries (Paperback)),Agatha Christie,2000,Signet Book,94
0963144839,Half Life: What We Give Up to Work,Jeannette Batz,1993,Booksource,43
0373196903,Her Pregnant Agenda : Marrying The Boss's Daughter (Silhouette Romance, 1690),Linda Goodnight,2003,55
0373196962,To Wed A Sheik   Desert Brides (Silhouette Romance, 1696),Teresa Southwick,2003,14
0671822209,WLD ACCORDNG GARP,John Irving,1979,Pocket,4
0064409430,The Magician's Nephew (The Chronicles of Narnia, Book 1, Full-Color Collector's Edition),C. S. Lewis,89
0380752107,Midnight Masquerade,Shirlee Busbee,1988,Avon Books,85
0425194493,Flashback,Nevada Barr,2004,Berkley Publishing Group,76
0531103099,New Zoos (First Book Series),Madelyn K. Anderson,1987,Scholastic Library Pub,62
0380728125,Wedding Night,Gary Devon,1997,AVON,19
0671722816,Othello,William Shakespeare,1993,Washington Square Press,42
1563521024,You're Not a Kid Anymore When...,Jeff Foxworthy,1993,Longstreet Press,34
0312267819,Stalin's Silver: The Sinking of the U.S.S. John Barry,John Beasant,2000,St. Martin's Press,73
0842361715,This Present Darkness,Frank E. Peretti,2002,Living Books,2
0446527289,The First Counsel,Brad Meltzer,2001,Warner Books,49
0743457900,Tinker, Tailor, Soldier, Spy,68
0394830148,The Berenstain Bears and Too Much Vacation (First Time Books),Stan Berenstain,1989,Random House Children's Books,78
0345384350,Icebound,Dean R. Koontz,1995,Ballantine Books,64
0060175532,Young Wives,Olivia Goldsmith,2000,HarperCollins Publishers,4
0811200701,The Berlin Stories: The Last of Mr. Norris and  Goodbye to Berlin (New Directions Book),Christopher Isherwood,1963,J. Laughlin,10
0671023373,Man's Search For Meaning,Viktor E. Frankl,1997,Pocket,31
0679748083,The Kitchen God's Wife (Vintage Contemporaries),Amy Tan,1993,Vintage Books USA,68
0830819223,So You Want to Be a Stay-At-Home Mom,Cheryl Gochnauer,1999,InterVarsity Press,48
0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,63
0380731851,Mystic River,Dennis Lehane,2002,HarperTorch,34
0749930721,Hitched,Z. Barnes,1998,Judy Piatkus Publishers Ltd,26
0380009560,Fantastic Imagination,Robert Boyer,1978,Harper Mass Market Paperbacks (Mm),79
0345298365,Six of Swords,Carole Nelson Douglas,1982,Del Rey Books,55
0380776510,Paradise Wild,Johanna Lindsey,1981,Avon,47
880781210X,iI Paradiso Degli Orchi,Daniel Pennac,1994,Universale Economica Feltrinelli,96
1570422826,The Celestine Prophecy : An Experiential Guide,Carol Adrienne,1995,Time Warner Audio Major,35
2070368076,Huis Clos Suivi de Les Mouches (Folio Ser. No. 807),Jean-Paul Sartre,1964,Distribooks,60
0312874995,Escape from Kathmandu,Kim Stanley Robinson,2000,Orb Books,35
0425185702,McNally's Chance,Lawrence Sanders,2002,Berkley Publishing Group,93
0886771560,The Year's Best Horror Stories: Series XIV,Edward Karl Wagner,1986,New Amer Library (Mm),23
0684862719,Pay It Forward: A Novel,Catherine Ryan Hyde,2000,Simon &amp,53
8585622032,Bola da vez: Romance policial (Coleção Romance policial brasileiro),Muniz Sodré,1993,Notrya Editora,51
8570070063,A corrente de Trewis Scott,Roberto Schneider,1985,Nórdica,46
8532501192,As valkírias,Paulo Coelho,1992,Rocco,31
8485229606,La crónica del Perú (Crónicas de América),Pedro de Cieza de León,1984,Historia 16,85
0552998338,Blast From the Past,Ben Elton,1999,Bantam Doubleday Dell,24
051748904X,A Treasury of Irish Myth, Legend, and Folklore,Claire Booss,12
087226002X,Celtic Mythology (Library of the World's Myths and Legends),Proinsias Mac Cana,1985,Peter Bedrick Books,61
1855853906,Ancient Celtic Romances,P W Joyce,0,Parkgate Books,22
1850630127,The Western way: A practical guide to the Western mystery tradition,Caitlin Matthews,1985,Routledge &amp,39
0385304366,Wings,Terry Pratchett,1991,Random House Childrens Books,10
0385299842,Truckers,Terry Pratchett,1990,Random House Childrens Books,69
1555910408,Keepers of the Earth Teachers Guide,Michael J Caduto,1988,Fulcrum Publishing,7
071411393X,The Celts Activity Book,British Museum,2000,Parkwest Publications,17
0713723076,The Art Of Celtia,Courtney Davis,1997,Sterling Publishing,71
0486243451,The Book of Kells: Selected Plates in Full Color,Blanche Cirker,1982,Dover Publications,52
0684859262,SINGLE &amp, SINGLE,John le Carre,1999,6
0684836491,Apocalypse Wow,James Finn Garner,1997,Simon &amp,25
0671614460,COPS,Mark Baker,1986,Pocket,85
0345452550,A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,2003,Ballantine Books,36
0399147357,Dead Sleep,Greg Iles,2001,G. P. Putnam's Sons,98
0740704532,Random Acts Of Management:A Dilbert Book,Scott Adams,2000,Andrews McMeel Publishing,78
0836221974,Conversations With Dogbert: A Dilbert Book,Scott Adams,1996,Andrews McMeel Publishing,35
0836228790,The Dilbert Bunch: A Dilbert Book (Main Street Editions),Scott Adams,1997,Andrews McMeel Publishing,58
0836221966,You Don't Need Experience if You've Got Attitude,Scott Adams,1996,Andrews McMeel Publishing,23
0836232232,The Boss: Nameless, Blameless and Shameless (Adams, Scott, Dilbert Book,77
0345452534,The Murder Book,JONATHAN KELLERMAN,2002,Ballantine Books,51
0312717415,Shock-Trauma,Jon Franklin,1980,St. Martin's Press,15
0316602051,The Jester,James Patterson,2003,Little,58
0688156126,Jupiter's Bones: A Novel (Peter Decker &amp, Rina Lazarus Novels (Hardcover)),Faye Kellerman,1999,3
1552976246,Silent Witness: How Forensic Anthropology Is Used to Solve the World's Toughest Crimes,Roxana Ferllini Timms,2002,Firefly Books Ltd,30
0440221420,No Witnesses: A Novel,Ridley Pearson,1996,Island,73
0553573977,The Hancock Boys,Thomas William Simpson,2000,Bantam Books,50
0684867583,Dead Reckoning: The New Science of Catching Killers,Michael Baden,2001,Simon &amp,57
0451197879,Roadwork,Richard Bachman,1999,Signet Book,69
0380796090,Watermelon,Marian Keyes,1999,Avon,11
0446604666,Sick Puppy,Carl Hiaasen,2001,Warner Vision,16
0312860951,Reliquary,Douglas Preston,1997,St Martins Pr,27
0340792655,Turning Thirty,Mike Gayle,2001,Hodder &amp,20
0061015725,Prey,Michael Crichton,2003,Avon Books,42
0593043995,The Visitor (A Jack Reacher Novel),Lee Child,2000,Transworld Publishers Ltd,56
1855681870,Haunted Yorkshire,W.R. Mitchell,2000,Dalesman Publishing Company Ltd,61
0553579754,Fear Nothing,DEAN KOONTZ,1998,Bantam,27
0425181200,Dale Brown's Dreamland,Dale Brown,2001,Berkley Publishing Group,12
0451163494,The Key to Rebecca,Ken Follett,1989,Signet Book,85
0425157164,Shadows of Steel,Dale Brown,1997,Berkley Publishing Group,47
0449221482,J Is for Judgment,Sue Grafton,1999,Fawcett Books,96
0316154067,Void Moon,Michael Connelly,1999,Little,27
0312958455,The Last Coyote (Last Coyote),Michael Connelly,1996,St. Martin's Press,87
0515120863,Killing Critics (Kathleen Mallory Novels (Paperback)),Carol O'Connell,1997,Jove Books,5
0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,Bantam,68
0345353145,Sphere,MICHAEL CRICHTON,1988,Ballantine Books,8
0553348973,Still Life with Woodpecker,TOM ROBBINS,1990,Bantam,2
0446516538,Slow Waltz in Cedar Bend,Robert James Waller,1993,Warner Books,63
0440214041,The Pelican Brief,John Grisham,1993,Dell,92
0679446486,Airframe,Michael Crichton,1996,Alfred A. Knopf,45
0802116825,Death of a River Guide,Richard Flanagan,2001,Grove Press,45
0846705672,American Way of Sex: An Informal Illustrated History (254p),Bradley Smith,1978,Book Sales,87
0841502439,Christopher and gay,: A partisan's view of the Greenwich Village homosexual scene,Wallace Hamilton,1973,40
0380717972,Halfway Home,Paul Monette,1992,Harpercollins,60
0312028784,The Boys and Their Baby (Stonewall Inn Editions),Larry Wolff,1989,St Martins Pr,27
0807079200,Gay Ideas: Outing and Other Controversies,Richard D. Mohr,1992,Houghton Mifflin,8
0878670319,The gay liberation book,Len Richmond,1973,Ramparts Press,9
0896082172,Culture Clash: The Making of Gay Sensibility,Michael Bronski,1984,South End Press,98
0226067114,Christianity, Social Tolerance, and Homosexuality: Gay People in Western Europe from the Beginning of the Christian Era to the Fourteenth Century,John Boswell,31
0393011224,The Age of Sensation,Herbert Hendin,1975,W. W. Norton &amp,21
0060167084,Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History,Eric Marcus,1992,93
0415907411,Queer Looks: Perspectives on Lesbian and Gay Film and Video,Martha Gever,1993,Routledge,88
0472095978,The Male Body: Features, Destinies, Exposures,Laurence Goldstein,28
1565842103,A Queer Reader,Patrick Higgins,1994,New Press,99
0385239068,After the Ball: How America Will Conquer Its Fear and Hatred of Gays in the '90s,Marshall Kirk,1989,Bantam Dell Pub Group,71
0525943730,Walt Whitman: A Gay Life,Gary Schmidgall,1997,Dutton Books,64
0802130259,Out Front: Contemporary Gay and Lesbian Plays,Don Shewey,1988,Pub Group West,6
0877736510,Same-Sex Love : And the Path to Wholeness,ROBERT H. HOPCKE,1993,Shambhala,26
0151002231,Homosexuality In History,Colin Spencer,1996,Harcourt,57
1895857058,On the Safe Edge: A Manual for SM Play,Trevor Jacques,1993,Alternate Sources,55
0525480374,Get the Message?: A Decade of Art for Social Change,Lucy R. Lippard,1984,Penguin USA,4
0812822625,The Gay Tapes: A Candid Discussion About Male Homosexuality,David Gottlieb,1977,Natl Book Network,73
0890876096,So Little Time: Essays on Gay Life,Mike Hippler,1990,Celestial Arts,65
1560238763,Reviving the Tribe: Regenerating Gay Men's Sexuality and Culture in the Ongoing Epidemic (Haworth Gay &amp, Lesbian Studies),Eric E. Rofes,1995,21
0062507567,The Thirteen Original Clan Mothers : Your Sacred Path to Discovering the Gifts, Talents, and Abilities of the Feminin,Jamie Sams,58
0553476580,Alchemist,Paulo Coelho,1995,Random House Audio,89
076071150X,Writing for Dollars,John Mccollister,0,Barnes Noble Books,60
1561707236,Soul's Perfection (Journey of the Soul),Sylvia Browne,2000,Hay House,36
1561707244,The Nature of Good and Evil (Journey of the Soul Series, Book 3),Sylvia Browne,2001,19
1561706213,Adventures of a Psychic: The Fascinating Inspiring True-Life Story of One of America's Most Successful Clairvoyants,Sylvia Browne,1998,Hay House,33
0525945040,The Other Side and Back: A Psychic's Guide to Our World and Beyond,Sylvia Browne,1999,Penguin Putnam,68
0743400720,The Camino,Shirley MacLaine,2000,Atria,87
0553274384,Don't Fall Off the Mountain,Shirley MacLaine,1985,Bantam Books,1
1880032627,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,1995,New World Library,68
0915811898,Way of the Peaceful Warrior, 20th Anniversary Edition: A Book That Changes Lives,Dan Millman,2000,5
0385315287,Running from Safety: An Adventure of the Spirit,Richard Bach,1995,Delta,69
0440108268,The Bridge Across Forever,Richard Bach,1986,Dell,41
0440204321,A Gift of Wings,Richard Bach,1989,Dell,81
